"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state13","female","with_children","care","formal","daily_living","active",22564825.4571429,1224633.54
"state12","female","with_children","care","formal","daily_living","active",45407278.1142857,2051044.61
"state21","female","with_children","care","formal","daily_living","active",10205595.1714286,450977.96
"state47","female","with_children","care","formal","daily_living","active",7315092.85714286,770386.01
"state01","female","with_children","care","formal","daily_living","active",12600939.6857143,520994.31
"state28","female","with_children","care","formal","daily_living","active",6274932.08571429,288481.45
"state05","female","with_children","care","formal","daily_living","active",9028472.4,324888.14
"state22","female","with_children","care","formal","daily_living","active",11782229.4857143,484123.96
"state40","female","with_children","care","formal","daily_living","active",10770737.0571429,416853.4
"state48","female","with_children","care","formal","daily_living","active",97798571.8285714,3511283.28
"state30","female","with_children","care","formal","daily_living","active",1319460,116512.01
"state16","female","with_children","care","formal","daily_living","active",4110128.22857143,238036.96
"state56","female","with_children","care","formal","daily_living","active",1969172.65714286,67059.03
"state08","female","with_children","care","formal","daily_living","active",8981448.77142857,599375.46
"state35","female","with_children","care","formal","daily_living","active",4477563.51428571,217586.96
"state04","female","with_children","care","formal","daily_living","active",13921963.2,696075.76
"state49","female","with_children","care","formal","daily_living","active",3508708.11428571,391552.88
"state32","female","with_children","care","formal","daily_living","active",11291622,326882.4
"state53","female","with_children","care","formal","daily_living","active",20006230.8,913998.05
"state41","female","with_children","care","formal","daily_living","active",5367891.77142857,437386.13
"state06","female","with_children","care","formal","daily_living","active",85517466.6,3888548.36
"state02","female","with_children","care","formal","daily_living","active",1469598.94285714,80380.19
"state15","female","with_children","care","formal","daily_living","active",3748080.34285714,152217.34
"national","female","with_children","care","formal","daily_living","active",737445461.314286,34651174.27
"state23","female","with_children","care","formal","developmental","active",4791069.68571429,132790.56
"state33","female","with_children","care","formal","developmental","active",2792971.8,111906.66
"state50","female","with_children","care","formal","developmental","active",3440145.25714286,64525.58
"state25","female","with_children","care","formal","developmental","active",34008564.1714286,704279.22
"state44","female","with_children","care","formal","developmental","active",3360096.51428571,103547.24
