"date","geo_level","category_id","subcategory_id","formal_care_labor_force","formal_care_labor_force_proportion","formal_care_time","formal_care_time_proportion","formal_value","formal_value_proportion"
1996-01-01,"state45","overall","overall",415859.91,0.154544335241869,NA,NA,NA,NA
1996-01-01,"state46","overall","overall",92785.86,0.181283162241466,NA,NA,NA,NA
1996-01-01,"state47","overall","overall",660856.14,0.165709692575657,NA,NA,NA,NA
1996-01-01,"state48","overall","overall",2055205.61,0.1544548090346,NA,NA,NA,NA
1996-01-01,"state49","overall","overall",198073.78,0.153814225687624,NA,NA,NA,NA
1996-01-01,"state50","overall","overall",83446.91,0.193614903215066,NA,NA,NA,NA
1996-01-01,"state51","overall","overall",638085.9,0.130424812239155,NA,NA,NA,NA
1996-01-01,"state53","overall","overall",619963.43,0.15425129081673,NA,NA,NA,NA
1996-01-01,"state54","overall","overall",194949.52,0.137897790924294,NA,NA,NA,NA
1996-01-01,"state55","overall","overall",707444.71,0.18800120287654,NA,NA,NA,NA
1996-01-01,"state56","overall","overall",70895.5,0.203544330807118,NA,NA,NA,NA
1997-01-01,"state01","overall","overall",460903.98,0.14634042772096,NA,NA,NA,NA
1997-01-01,"state02","overall","overall",72115.51,0.169355664435473,NA,NA,NA,NA
1997-01-01,"state04","overall","overall",492702.04,0.146163802416323,NA,NA,NA,NA
1997-01-01,"state05","overall","overall",283657.06,0.15267775558445,NA,NA,NA,NA
1997-01-01,"state06","overall","overall",3562520.28,0.153412874232541,NA,NA,NA,NA
1997-01-01,"state08","overall","overall",459411.9,0.161444105063725,NA,NA,NA,NA
1997-01-01,"state09","overall","overall",425222.04,0.175141897948804,NA,NA,NA,NA
1997-01-01,"state10","overall","overall",92772.95,0.169898029811404,NA,NA,NA,NA
1997-01-01,"state11","overall","overall",67934.87,0.162995456992294,NA,NA,NA,NA
1997-01-01,"state12","overall","overall",1676950.01,0.151932757300877,NA,NA,NA,NA
1997-01-01,"state13","overall","overall",838453.28,0.15390694740677,NA,NA,NA,NA
1997-01-01,"state15","overall","overall",174743.04,0.198548681428581,NA,NA,NA,NA
1997-01-01,"state16","overall","overall",137269.35,0.161020996899589,NA,NA,NA,NA
1997-01-01,"state17","overall","overall",1263003.64,0.147471985701587,NA,NA,NA,NA
1997-01-01,"state18","overall","overall",655355.46,0.152042551644888,NA,NA,NA,NA
1997-01-01,"state19","overall","overall",406031.54,0.195870037339095,NA,NA,NA,NA
1997-01-01,"state20","overall","overall",319877.45,0.175163111817749,NA,NA,NA,NA
1997-01-01,"state21","overall","overall",460632.73,0.16030230588296,NA,NA,NA,NA
1997-01-01,"state22","overall","overall",464198.28,0.149512515567702,NA,NA,NA,NA
1997-01-01,"state23","overall","overall",174335.52,0.184107037855593,NA,NA,NA,NA
1997-01-01,"state24","overall","overall",597479.04,0.158627507613531,NA,NA,NA,NA
1997-01-01,"state25","overall","overall",711951.58,0.154391224295208,NA,NA,NA,NA
1997-01-01,"state26","overall","overall",1058909.37,0.151153328805502,NA,NA,NA,NA
1997-01-01,"state27","overall","overall",630270.56,0.187716549031226,NA,NA,NA,NA
1997-01-01,"state28","overall","overall",296465.22,0.151040768270935,NA,NA,NA,NA
1997-01-01,"state29","overall","overall",643101.49,0.166619148408526,NA,NA,NA,NA
1997-01-01,"state30","overall","overall",117867.5,0.181009967046795,NA,NA,NA,NA
1997-01-01,"state31","overall","overall",207584.13,0.172366219264633,NA,NA,NA,NA
1997-01-01,"state32","overall","overall",205703.48,0.167480731106077,NA,NA,NA,NA
1997-01-01,"state33","overall","overall",126225.23,0.145842994078132,NA,NA,NA,NA
1997-01-01,"state34","overall","overall",850710.52,0.142031913276356,NA,NA,NA,NA
1997-01-01,"state35","overall","overall",196700.57,0.159713673431207,NA,NA,NA,NA
1997-01-01,"state36","overall","overall",2253214.29,0.166385291934756,NA,NA,NA,NA
