"activity_id","provision_interval","population","geo"
"food-managers-state26","11428671.0726857","33977.83148","state26"
"food-managers-state55","3331254.95982857","12340.26106","state55"
"food-managers-state27","4758596.71714286","14332.99806","state27"
"food-managers-state19","6737613.8484","16784.33874","state19"
"food-managers-state29","9192181.82554286","25475.90608","state29"
"food-managers-state38","859091.890285714","2591.01198","state38"
"food-managers-state46","1190492.24177143","3316.39252","state46"
"food-managers-state31","3387883.45302857","9625.16716","state31"
"food-managers-state20","3931894.27971429","11345.93716","state20"
"food-managers-state10","1535345.53422857","5188.91302","state10"
"food-managers-state24","8088428.30057143","21723.29934","state24"
"food-managers-state11","791146.490228571","2334.89216","state11"
"food-managers-state51","12366839.1257143","40735.42286","state51"
"food-managers-state54","875105.126057143","2807.61816","state54"
"food-managers-state37","11360420.3005714","34022.18008","state37"
"food-managers-state45","7973047.98857143","22596.32976","state45"
"food-managers-state13","17915651.2981714","50213.79608","state13"
"food-managers-state12","30143072.6873143","94178.42488","state12"
"food-managers-state21","4715127.24205714","13930.29262","state21"
"food-managers-state47","13027692.2117143","34151.32994","state47"
"food-managers-state01","8516238.29211429","22736.58264","state01"
"food-managers-state28","5512170.438","14757.89252","state28"
"food-managers-state05","4556715.22354286","13560.06476","state05"
"food-managers-state22","7182805.69405714","21346.27032","state22"
"food-managers-state40","6673186.12491429","21587.64966","state40"
"food-managers-state48","44943016.8901714","130390.5402","state48"
"food-managers-state30","1787307.23057143","6192.6431","state30"
"food-managers-state16","3320130.84068571","9513.12884","state16"
"food-managers-state56","1144334.71148571","3227.26058","state56"
"food-managers-state08","7417315.44805714","22916.18208","state08"
"food-managers-state35","2616104.14697143","7133.63514","state35"
"food-managers-state04","6553739.80114286","19879.44998","state04"
"food-managers-state49","2610272.16942857","8950.42702","state49"
"food-managers-state32","5429340.87","15698.78194","state32"
"food-managers-state53","8593277.43737143","26158.53488","state53"
"food-managers-state41","5673578.76788571","17686.74016","state41"
"food-managers-state06","45380106.0384","127194.39346","state06"
"food-managers-state02","714009.809828571","1852.22248","state02"
"food-managers-state15","1861117.2492","6164.1039","state15"
"food-preparation-workers-state23","3327713.18057143","13145.50016","state23"
"food-preparation-workers-state33","1912516.58657143","7775.69212","state33"
"food-preparation-workers-state50","812781.468342857","3467.17704","state50"
"food-preparation-workers-state25","8776135.56874286","42671.11046","state25"
"food-preparation-workers-state44","1665947.00537143","6214.51518","state44"
"food-preparation-workers-state09","3999121.80342857","17428.66424","state09"
"food-preparation-workers-state36","34799132.6550857","127555.05336","state36"
"food-preparation-workers-state34","14069896.6073143","53446.28318","state34"
"food-preparation-workers-state42","22532645.0876571","90779.31692","state42"
