"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2017-01-01,"state19",65077.8552733868,0.0223120577962618,588127.940259836,507
2017-01-01,"state20",62957.0611433852,0.0227420452607716,351889.205717793,211
2017-01-01,"state21",114310.189004978,0.0295623720449376,945385.018063895,557
2017-01-01,"state22",97596.6454959584,0.0296298540903563,704196.444336075,436
2017-01-01,"state23",14936.6035152964,0.0136039937532292,140947.410747037,604
2017-01-01,"state24",83177.4365270844,0.01623799579315,817023.043672487,702
2017-01-01,"state25",119072.880031126,0.0232243229989999,901733.544648609,422
2017-01-01,"state26",285963.53125182,0.0321761091452641,2282888.62272148,425
2017-01-01,"state27",143938.565030325,0.0274141948506142,1465132.56996104,595
2017-01-01,"state28",87242.1882896696,0.0353490833562905,767385.866688455,500
2017-01-01,"state29",141427.028548115,0.0282774962408425,1102406.19049162,403
2017-01-01,"state30",15647.7259500734,0.0174395465257794,120040.182780424,420
2017-01-01,"state31",36115.3442876614,0.0222825892256447,213007.665530664,192
2017-01-01,"state32",40479.4923035496,0.0188501073467836,437123.049374478,690
2017-01-01,"state33",47311.5608904548,0.0440593386548355,129587.836430924,73
2017-01-01,"state34",160561.174979636,0.0212462903247263,1567813.68618361,615
2017-01-01,"state35",55855.4644969825,0.0336051265577678,563850.863782936,422
2017-01-01,"state36",382234.422224801,0.0267274135803934,3265743.89832101,553
2017-01-01,"state37",209472.47556018,0.0262770747469109,1629836.03621486,400
2017-01-01,"state38",31219.3967273277,0.0517483278007575,212139.113265533,275
2017-01-01,"state39",188138.880496305,0.0195441513295332,1535547.28226091,441
2017-01-01,"state40",108484.609855625,0.0368862211316914,1161130.08447554,628
2017-01-01,"state41",120067.152691263,0.0321102618671673,1114608.16823279,584
2017-01-01,"state42",254472.585920713,0.0223763742827246,2346673.31586331,525
2017-01-01,"state44",18468.8950813195,0.0211489352038363,136346.450435269,446
2017-01-01,"state45",120221.959178603,0.0339121957205882,1060481.47668079,427
2017-01-01,"state46",27520.7074576142,0.0375748757764876,297284.857820401,755
2017-01-01,"state47",161285.743173951,0.0292653125235756,1181200.14809743,465
2017-01-01,"state48",643460.253923866,0.0304398140510764,6325195.81777303,615
2017-01-01,"state49",117208.030204367,0.044939576043893,1116302.79229727,564
2017-01-01,"state50",18730.6955763573,0.0371823463881155,221627.890469718,645
2017-01-01,"state51",144751.823617616,0.019488460251503,1064615.98910926,376
2017-01-01,"state53",127507.100788169,0.0226171105822858,1253377.60042537,620
2017-01-01,"state54",49632.9034890866,0.0301610111231988,542058.842848454,812
2017-01-01,"state55",80783.4143964455,0.0149949019711331,731402.254054423,459
2017-01-01,"state56",13384.6166917205,0.0344931211810865,119131.729998296,512
2018-01-01,"state01",116452.277068907,0.0285375508215007,1050348.47351853,657
2018-01-01,"state02",24304.725159891,0.0547184918042802,287893.852434604,569
2018-01-01,"state04",105625.479769203,0.021547067240656,810402.693518179,463
2018-01-01,"state05",53497.8413440888,0.0217369759946849,585199.466375887,700
2018-01-01,"state06",674435.638534049,0.0253574349329523,5958648.79756513,535
2018-01-01,"state08",123428.145829118,0.0284012061712307,1051561.13192044,631
2018-01-01,"state09",45856.8282746499,0.0166678677606848,335417.648317496,431
2018-01-01,"state10",8749.1591070389,0.0138789014676946,118017.888913091,541
2018-01-01,"state11",11746.5641269715,0.018638552376511,70365.4168579325,410
2018-01-01,"state12",363720.407750673,0.0249898222802617,3451674.11662708,620
2018-01-01,"state13",275562.319825123,0.0358256478784598,2293217.77751835,500
2018-01-01,"state15",9076.87817164274,0.0116119763156012,65122.3659950565,350
2018-01-01,"state16",43141.6701604855,0.0313336038124922,406882.884511777,710
2018-01-01,"state17",286992.79237783,0.0256327125625504,2526278.92297227,503
2018-01-01,"state18",102031.118655698,0.0162358015279011,957367.529402238,650
2018-01-01,"state19",68525.5572290312,0.0240014211496394,612632.098254666,507
2018-01-01,"state20",74939.4344808345,0.0267197145032206,460434.404067433,225
2018-01-01,"state21",103711.333291407,0.0275978568733699,910511.952728789,702
2018-01-01,"state22",103023.338956799,0.0311734669414466,799048.745279619,435
2018-01-01,"state23",14936.6035152964,0.0125487657883726,140947.410747037,604
2018-01-01,"state24",102341.526122679,0.0190946441348631,939013.86192753,456
2018-01-01,"state25",95705.9957294778,0.0183582223447909,758938.241361634,428
2018-01-01,"state26",290535.165518841,0.0335985834363594,2253161.28631466,409
2018-01-01,"state27",142495.866825567,0.0270703653452695,1370406.58196298,585
2018-01-01,"state28",86579.5625570126,0.0350140738550432,799223.259563759,674
2018-01-01,"state29",148585.857082758,0.0298731640220397,1167627.40151876,446
2018-01-01,"state30",17417.0217606784,0.0189579398508909,171180.582000793,665
2018-01-01,"state31",39361.1770537699,0.0240028288457962,220008.95850411,255
2018-01-01,"state32",69572.3086882203,0.0326607444144592,758163.291124337,690
2018-01-01,"state33",44447.5242735019,0.0447811219223781,128505.003741939,210
