"date","geo_level","category_id","subcategory_id","formal_care_time","formal_care_time_proportion","care_flag","informal_care_time","informal_care_time_proportion"
1997-01-01,"state42","overall","overall",428387295.257143,0.244940811830491,NA,NA,NA
1997-01-01,"state44","overall","overall",35183206.0285714,0.266118739579967,NA,NA,NA
1997-01-01,"state45","overall","overall",137939167.542857,0.235250869116543,NA,NA,NA
1997-01-01,"state46","overall","overall",26642032.8,0.244824046583997,NA,NA,NA
1997-01-01,"state47","overall","overall",165498463.028571,0.223907711221154,NA,NA,NA
1997-01-01,"state48","overall","overall",721275944.914286,0.245324604120186,NA,NA,NA
1997-01-01,"state49","overall","overall",65833665.8571429,0.221879229544328,NA,NA,NA
1997-01-01,"state50","overall","overall",24847173.1714286,0.270099695419879,NA,NA,NA
1997-01-01,"state51","overall","overall",208961092.371429,0.202602941664282,NA,NA,NA
1997-01-01,"state53","overall","overall",173021773.971429,0.203944426307776,NA,NA,NA
1997-01-01,"state54","overall","overall",63990706.2857143,0.297430866033956,NA,NA,NA
1997-01-01,"state55","overall","overall",186675420.514286,0.213057831470634,NA,NA,NA
1997-01-01,"state56","overall","overall",20734439.0571429,0.287437712521202,NA,NA,NA
1998-01-01,"state01","overall","overall",148176809.142857,0.232500985797411,NA,NA,NA
1998-01-01,"state02","overall","overall",20745530.0571429,0.227984920642641,NA,NA,NA
1998-01-01,"state04","overall","overall",173556267.857143,0.266090947742553,NA,NA,NA
1998-01-01,"state05","overall","overall",72648239.3142857,0.217641070084092,NA,NA,NA
1998-01-01,"state06","overall","overall",1060731232.28571,0.226827824874488,NA,NA,NA
1998-01-01,"state08","overall","overall",137632401.771429,0.205953398314553,NA,NA,NA
1998-01-01,"state09","overall","overall",129951344.485714,0.255493726571111,NA,NA,NA
1998-01-01,"state10","overall","overall",28587396.0857143,0.243742011208928,NA,NA,NA
1998-01-01,"state11","overall","overall",21123397.3714286,0.267918731909677,NA,NA,NA
1998-01-01,"state12","overall","overall",498075937.971429,0.241056584701746,NA,NA,NA
1998-01-01,"state13","overall","overall",260033098.542857,0.224289803947794,NA,NA,NA
1998-01-01,"state15","overall","overall",52244846.4,0.303756411309279,NA,NA,NA
1998-01-01,"state16","overall","overall",40261374,0.222373465735989,NA,NA,NA
1998-01-01,"state17","overall","overall",388571860.457143,0.211679480963665,NA,NA,NA
