"date","geo_level","category_id","subcategory_id","care_labor_force","total_population","care_labor_force_proportion","type"
1990-01-01,"state27","overall","overall",481541.29,3170225.81,0.151894949716531,"Paid"
1990-01-01,"state28","overall","overall",255624.12,1821542.52,0.140333874830438,"Paid"
1990-01-01,"state29","overall","overall",510287.28,3743786.92,0.136302436785051,"Paid"
1990-01-01,"state30","overall","overall",105904.2,583135.11,0.181611770898171,"Paid"
1990-01-01,"state31","overall","overall",188810.47,1163934.6,0.162217421837962,"Paid"
1990-01-01,"state32","overall","overall",117876.65,850299.96,0.13862949023307,"Paid"
1990-01-01,"state33","overall","overall",101235.84,822060.86,0.123148838396223,"Paid"
1990-01-01,"state34","overall","overall",732709.68,5852105.76,0.125204449483497,"Paid"
1990-01-01,"state35","overall","overall",147150.3,1065404.91,0.138116784162371,"Paid"
1990-01-01,"state36","overall","overall",1879298.05,13419638.75,0.140040882248041,"Paid"
1990-01-01,"state37","overall","overall",636411.28,4844438.19,0.131369470522649,"Paid"
1990-01-01,"state38","overall","overall",88264.14,462564.5,0.190814772858704,"Paid"
1990-01-01,"state39","overall","overall",1094459.21,7931692.71,0.137985578868952,"Paid"
1990-01-01,"state40","overall","overall",338793.43,2284827.43,0.148279658039645,"Paid"
1990-01-01,"state41","overall","overall",299573.62,2075399.01,0.144345072227822,"Paid"
1990-01-01,"state42","overall","overall",1196831.8,9130041.54,0.131087223947067,"Paid"
1990-01-01,"state44","overall","overall",90770.37,751560.49,0.120775867289139,"Paid"
1990-01-01,"state45","overall","overall",319593.26,2520159.86,0.126814677541924,"Paid"
1990-01-01,"state46","overall","overall",85420.64,498902.4,0.171217135856632,"Paid"
1990-01-01,"state47","overall","overall",419912.83,3598216.39,0.116700271603176,"Paid"
1990-01-01,"state48","overall","overall",1660180.61,11904050.28,0.139463507877589,"Paid"
1990-01-01,"state49","overall","overall",154313.72,1065017.9,0.144893076445006,"Paid"
1990-01-01,"state50","overall","overall",72049.87,421456.19,0.170954589609895,"Paid"
1990-01-01,"state51","overall","overall",604685.74,4509505.76,0.134091355501451,"Paid"
1990-01-01,"state53","overall","overall",505892.23,3536942.29,0.14303095400519,"Paid"
1990-01-01,"state54","overall","overall",160514.08,1362358.87,0.117820703145567,"Paid"
1990-01-01,"state55","overall","overall",541016.19,3570883.04,0.151507675815672,"Paid"
1990-01-01,"state56","overall","overall",59361.87,328508.73,0.180701042556769,"Paid"
1991-01-01,"state01","overall","overall",391858.62,2973445.53,0.131786042840341,"Paid"
1991-01-01,"state02","overall","overall",57657.68,346650.43,0.166328020997983,"Paid"
1991-01-01,"state04","overall","overall",342640.77,2629574.41,0.130302747355988,"Paid"
1991-01-01,"state05","overall","overall",220722.25,1743924.42,0.126566408193309,"Paid"
1991-01-01,"state06","overall","overall",2889405.39,21655396.96,0.133426572384568,"Paid"
1991-01-01,"state08","overall","overall",371485.61,2412893.53,0.153958558627326,"Paid"
1991-01-01,"state09","overall","overall",344102.65,2456156.78,0.140097998955914,"Paid"
1991-01-01,"state10","overall","overall",78728.85,525529.61,0.149808590233384,"Paid"
1991-01-01,"state11","overall","overall",68688.14,425755.8,0.161332247264747,"Paid"
1991-01-01,"state12","overall","overall",1337181.65,10077692.68,0.132687281946367,"Paid"
1991-01-01,"state13","overall","overall",640929.85,4658416.72,0.137585340368605,"Paid"
1991-01-01,"state15","overall","overall",134931.73,823646.04,0.163822471604429,"Paid"
1991-01-01,"state16","overall","overall",100934.14,711187.33,0.141923422623404,"Paid"
1991-01-01,"state17","overall","overall",1159773.61,8670929.87,0.133754237133508,"Paid"
1991-01-01,"state18","overall","overall",537983.27,4105860.38,0.131028145189876,"Paid"
1991-01-01,"state19","overall","overall",320550.28,2069826.97,0.154868153061123,"Paid"
1991-01-01,"state20","overall","overall",273561.9,1785378.05,0.153223514762042,"Paid"
1991-01-01,"state21","overall","overall",335432.59,2733675.1,0.122703897767515,"Paid"
1991-01-01,"state22","overall","overall",437194.89,3004687.22,0.145504293122397,"Paid"
1991-01-01,"state23","overall","overall",151038.54,909731.62,0.166025382299013,"Paid"
1991-01-01,"state24","overall","overall",422553.38,3563368.77,0.11858255692127,"Paid"
1991-01-01,"state25","overall","overall",689377.73,4514309.94,0.152709437137141,"Paid"
1991-01-01,"state26","overall","overall",870639.64,6766002.94,0.128678578434079,"Paid"
1991-01-01,"state27","overall","overall",522295.11,3207327.91,0.162844312978276,"Paid"
1991-01-01,"state28","overall","overall",230302.08,1831450.45,0.125748463465119,"Paid"
1991-01-01,"state29","overall","overall",552622.58,3781595.39,0.14613477196988,"Paid"
1991-01-01,"state30","overall","overall",97459.75,575550.11,0.169333214096684,"Paid"
1991-01-01,"state31","overall","overall",196515.82,1161220.32,0.169232157425561,"Paid"
1991-01-01,"state32","overall","overall",137332.69,883760.93,0.155395747128129,"Paid"
1991-01-01,"state33","overall","overall",114394.44,830484.85,0.13774416234083,"Paid"
1991-01-01,"state34","overall","overall",730724.34,5875268.66,0.124372923569422,"Paid"
1991-01-01,"state35","overall","overall",145613.78,1075570.37,0.135382848079015,"Paid"
1991-01-01,"state36","overall","overall",1973667.86,13413161.44,0.147144121751509,"Paid"
1991-01-01,"state37","overall","overall",620052.93,4903575.88,0.126449135319591,"Paid"
1991-01-01,"state38","overall","overall",85291.53,450231.32,0.18943935308632,"Paid"
1991-01-01,"state39","overall","overall",1117675.31,8015647.1,0.139436691268507,"Paid"
1991-01-01,"state40","overall","overall",310479.29,2283038.54,0.135993889091334,"Paid"
1991-01-01,"state41","overall","overall",295938.52,2155496.36,0.137294836350362,"Paid"
1991-01-01,"state42","overall","overall",1170439.66,9127034.61,0.128238766479269,"Paid"
1991-01-01,"state44","overall","overall",103246.61,753535.83,0.137016192050217,"Paid"
1991-01-01,"state45","overall","overall",316468.99,2549131.39,0.124147774901473,"Paid"
1991-01-01,"state46","overall","overall",83591.04,504386.99,0.165727985965697,"Paid"
1991-01-01,"state47","overall","overall",433839.31,3644319.33,0.119045360934383,"Paid"
1991-01-01,"state48","overall","overall",1689203.07,12054170.48,0.140134327185988,"Paid"
1991-01-01,"state49","overall","overall",153840.58,1077015.27,0.142839738938892,"Paid"
1991-01-01,"state50","overall","overall",75473.85,423182.88,0.178348070224391,"Paid"
1991-01-01,"state51","overall","overall",635399.99,4547614.03,0.13972161793159,"Paid"
1991-01-01,"state53","overall","overall",510095.2,3629357.06,0.14054698712945,"Paid"
