"year","month","gender_parent","total_population","labor_force","lfpr"
1993,"September","Other",22906177.57,11741276.58,51.2581225921231
1994,"April","Fathers",29307618.6517,26214151.3793,89.4448357979417
1994,"April","Mothers",36274589.8436,23491181.992,64.7593317892321
1994,"April","Non-Fathers",54623164.7199,34081859.7179,62.3945168550139
1994,"April","Non-Mothers",52694777.6702,26683577.8589,50.6379930586369
1994,"April","Other",23462613.9669,11136116.8715,47.4632404011349
1994,"August","Fathers",28578833.5074,25885636.8384,90.5762540367414
1994,"August","Mothers",35870747.3313,22992962.6547,64.0994803992747
1994,"August","Non-Fathers",55625148.615,35990470.1627,64.7017959660691
1994,"August","Non-Mothers",53467886.3902,27373900.6317,51.1969005693056
1994,"August","Other",23500756.2039,12428798.6426,52.8868030235445
1994,"December","Fathers",29003110.1104,26333371.045,90.7949904157255
1994,"December","Mothers",36313794.8255,24085608.2874,66.3263324671504
1994,"December","Non-Fathers",55720093.7608,35530847.9786,63.766669401401
1994,"December","Non-Mothers",53403705.7652,27155851.5378,50.8501257519396
1994,"December","Other",23324262.9847,11744372.0224,50.3525964790568
1994,"February","Fathers",29186182.4604,25763238.4627,88.2720393379838
1994,"February","Mothers",36145942.3609,23226125.0317,64.256520966581
1994,"February","Non-Fathers",54519302.6725,33545194.6086,61.529023601251
1994,"February","Non-Mothers",52662169.105,26587510.3372,50.486925983221
1994,"February","Other",23576209.768,11364228.9008,48.2021029360906
1994,"January","Fathers",29126270.2574,25815944.2042,88.6345693288383
1994,"January","Mothers",35909163.7393,22799182.6916,63.4912660654582
1994,"January","Non-Fathers",54616407.5893,33345099.0694,61.0532631881352
1994,"January","Non-Mothers",53002545.7332,26518924.3313,50.0333030507418
1994,"January","Other",23298844.6785,11360707.3628,48.7608184850624
1994,"July","Fathers",28688670.9618,26005583.0903,90.6475699934911
1994,"July","Mothers",36015496.387,23174638.7425,64.3462983085942
1994,"July","Non-Fathers",55365096.5822,35728244.9188,64.5320736788649
1994,"July","Non-Mothers",53147660.9113,27494876.7843,51.7329950422224
1994,"July","Other",23640606.9396,12391417.0032,52.4158158665687
1994,"June","Fathers",29006807.7288,26240412.6182,90.4629453317839
1994,"June","Mothers",36299148.3204,23309751.128,64.2156970798678
1994,"June","Non-Fathers",55097818.7058,35340142.41,64.1407286896456
1994,"June","Non-Mothers",52957578.3694,27270229.1843,51.494479211416
1994,"June","Other",23331727.5863,11693256.9338,50.117407253915
1994,"March","Fathers",29242901.1852,25934473.0298,88.6863887599688
1994,"March","Mothers",36333598.7269,23347860.8663,64.259698142739
1994,"March","Non-Fathers",54587805.2357,33804390.4851,61.926634234769
1994,"March","Non-Mothers",52571568.6795,26571562.3557,50.5435980381187
1994,"March","Other",23477028.9072,11215676.2695,47.7729797660229
1994,"May","Fathers",29159265.0136,26318236.3818,90.2568578787053
1994,"May","Mothers",36232553.1754,23624225.6364,65.2016586356371
1994,"May","Non-Fathers",54866768.4245,34659409.0777,63.1701302499589
1994,"May","Non-Mothers",52877091.4389,26984822.6923,51.0331070752657
1994,"May","Other",23374105.9622,11359339.684,48.5979643558134
1994,"November","Fathers",28775549.4946,26037685.0792,90.4854487108446
1994,"November","Mothers",36249609.6347,24023546.09,66.2725649519917
1994,"November","Non-Fathers",55965221.3303,36005118.7083,64.3348098201955
1994,"November","Non-Mothers",53521808.9713,27499461.8791,51.3799185932711
1994,"November","Other",23094442.3987,11522053.254,49.891021636654
1994,"October","Fathers",28687016.6148,26090260.8169,90.9479754107288
1994,"October","Mothers",36147064.8371,23942778.2994,66.2371299227207
1994,"October","Non-Fathers",55930379.3003,35977548.0341,64.325592789082
1994,"October","Non-Mothers",53522112.7494,27346691.9481,51.0941936768118
1994,"October","Other",23143207.7078,11661384.6452,50.387935814402
1994,"September","Fathers",28752027.0972,26096015.4877,90.7623500752799
1994,"September","Mothers",35984316.853,23675579.9047,65.7941624997841
1994,"September","Non-Fathers",55746937.5501,35566397.0804,63.7997325834021
1994,"September","Non-Mothers",53646030.4018,27141905.7916,50.5944346456048
1994,"September","Other",23118389.4466,11466561.6176,49.5993098657933
1995,"April","Fathers",30185093.7336,27053355.4703,89.6248847496075
